Inference for Stan model: anon_model_b3ecf90648be7fd4e7aef1dac29f3753.
4 chains, each with iter=1000; warmup=500; thin=1; 
post-warmup draws per chain=500, total post-warmup draws=2000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_lon[0,7]    0.76    0.33   0.65   0.05   0.06   0.64   1.34   1.95    4.0   1.32
var_lon[1,7]    0.97    0.01   0.59   0.03   0.44   0.94   1.48   1.96 2000.0    1.0
var_lon[0,8]    0.76    0.32   0.64   0.05   0.06   0.67   1.34   1.92    4.0   1.34
var_lon[1,8]     1.0    0.01   0.59   0.06   0.48    1.0   1.52   1.95 2000.0    1.0
lp__           -1094    0.45   9.62  -1114  -1100  -1093  -1087  -1076  449.0   1.01

Samples were drawn using NUTS.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
